Babe Ruth,714
Barry Bonds,762
Willie Mays,660
Ty Cobb,117
Honus Wagner,101
Hank Aaron,755
Tris Speaker,117
Ted Williams,521
Rogers Hornsby,301
Stan Musial,475
Eddie Collins,47
Lou Gehrig,493
Mickey Mantle,536
Alex Rodriguez,654
Mel Ott,511
Mike Schmidt,548
Rickey Henderson,297
Frank Robinson,586
Nap Lajoie,83
Jimmie Foxx,534
Joe Morgan,268
Eddie Mathews,512
Carl Yastrzemski,452
Cal Ripken,431
Cap Anson,97
Albert Pujols,520
Al Kaline,399
Wade Boggs,118
Roger Connor,138
Chipper Jones,468
George Brett,317
George Davis,73
Joe DiMaggio,361
Roberto Clemente,240
Jeff Bagwell,449
Pete Rose,160
Brooks Robinson,268
Dan Brouthers,106
Charlie Gehringer,184
Bill Dahlen,84
Ken Griffey Jr.,630
Johnny Bench,389
Frankie Frisch,105
Paul Waner,113
Ed Delahanty,101
Derek Jeter,260
Fred Clarke,67
Reggie Jackson,563
Luke Appling,45
Arky Vaughan,96
Frank Thomas,521
Rod Carew,92
Eddie Murray,504
Sam Crawford,97
Ron Santo,342
Adrian Beltre,395
Ivan Rodriguez,311
Billy Hamilton,40
Rafael Palmeiro,569
Scott Rolen,316
Gary Carter,324
Al Simmons,307
Bobby Grich,224
Harry Heilmann,183
Larry Walker,383
Johnny Mize,359
Carlton Fisk,376
Lou Whitaker,244
Jim Thome,612
Paul Molitor,234
Barry Larkin,198
Ozzie Smith,28
Andruw Jones,434
Willie McCovey,521
Manny Ramirez,555
Joe Cronin,170
Jesse Burkett,75
Robin Yount,251
Mark McGwire,583
Tim Raines,170
Harmon Killebrew,573
Graig Nettles,390
Edgar Martinez,309
Craig Biggio,291
Dwight Evans,385
Tony Gwynn,135
Reggie Smith,314
Lou Boudreau,68
Jim Edmonds,393
Goose Goslin,248
Roberto Alomar,210
Alan Trammell,185
Yogi Berra,358
Duke Snider,407
Mike Piazza,427
Sherry Magee,83
Ernie Banks,512
Carlos Beltran,373
Zack Wheat,132
Willie Stargell,475
Bid McPhee,53
Gary Sheffield,509
Bobby Wallace,34
Joe Torre,252
Kenny Lofton,130
Willie Randolph,54
Buddy Bell,201
Dick Allen,351
Pee Wee Reese,126
Jake Beckley,86
Darrell Evans,414
Hank Greenberg,331
Ryne Sandberg,282
Joe Gordon,253
Miguel Cabrera,390
Joe Jackson,54
Billy Williams,426
Sammy Sosa,609
Frank Baker,96
Jack Glasscock,27
Max Carey,70
Dave Winfield,465
Andre Dawson,438
Keith Hernandez,162
Chase Utley,228
Tony Perez,379
Bobby Abreu,288
John Olerud,255
Richie Ashburn,29
Jackie Robinson,137
Bobby Bonds,332
Fred McGriff,493
Bill Terry,154
Bob Johnson,288
Robin Ventura,294
Jimmy Sheckard,56
Vladimir Guerrero,449
Jeff Kent,377
Sal Bando,242
Bill Dickey,202
Elmer Flick,48
Stan Hack,57
Willie Keeler,33
Ron Cey,316
Lance Berkman,366
Joe Tinker,31
Ichiro Suzuki,112
Todd Helton,369
Luis Gonzalez,354
Billy Herman,47
Joe Kelley,65
Harry Stovey,122
Ken Boyer,282
Norm Cash,377
Joe Medwick,205
Brian Giles,287
Ted Simmons,248
Gabby Hartnett,236
Willie Davis,182
Bobby Doerr,223
Kiki Cuyler,128
Jimmy Wynn,291
Jimmy Collins,65
Harry Hooper,75
Jim O'Rourke,62
Tommy Leach,63
Chet Lemon,215
David Wright,230
Will Clark,284
George Sisler,102
Enos Slaughter,169
Larry Doby,253
Jose Cruz,165
Jim Rice,382
Minnie Minoso,186
Mickey Cochrane,119
Jack Clark,340
Bob Elliott,170
Heinie Groh,26
Orlando Cepeda,379
Sam Rice,34
Tony Lazzeri,178
Cesar Cedeno,199
Matt Holliday,271
Edd Roush,68
Larry Doyle,74
Mike Cameron,278
Ed Konetchy,74
Jimmy Rollins,216
Dave Bancroft,32
Rocky Colavito,374
Fred Lynn,306
Luis Aparicio,83
Johnny Evers,12
Jason Giambi,440
John McGraw,13
Vern Stephens,247
Brian Downing,275
Hugh Duffy,106
Frank Chance,20
Buck Ewing,71
Joe Sewell,49
Moises Alou,332
Rusty Staub,292
Earl Averill,238
Ralph Kiner,369
Vada Pinson,256
George Foster,348
Tony Phillips,160
Charlie Keller,189
Travis Jackson,135
Lave Cross,47
Toby Harrah,195
George Burns,41
Jimmy Ryan,118
Joe Mauer,109
Mark Grace,173
Joe Judge,71
Cupid Childs,20
Pete Browning,46
Fred Tenney,22
Mike Griffin,42
Nellie Fox,35
Larry Gardner,27
Fielder Jones,21
King Kelly,69
Art Fletcher,32
Gene Tenace,201
Bert Campaneris,79
Hughie Jennings,18
J.D. Drew,242
Jorge Posada,275
Kirby Puckett,207
Matt Williams,378
Bill Freehan,200
George Van Haltren,69
Ellis Burks,352
Ken Singleton,246
Dale Murphy,398
Bernie Williams,287
Paul Hines,57
Jim Fregosi,151
Sam Thompson,127
Boog Powell,339
Roy Thomas,7
Dolph Camilli,239
Buddy Myer,38
Mike Tiernan,106
Bobby Veach,64
Hardy Richardson,70
Carlos Delgado,473
Tony Fernandez,94
Al Oliver,219
Lance Parrish,324
Augie Galan,100
Jake Daubert,56
David Ortiz,466
Lou Brock,149
Heinie Manush,110
Johnny Damon,235
George Gore,46
Torii Hunter,331
Julio Franco,173
Chuck Klein,300
Babe Herman,181
Wally Berger,242
Rabbit Maranville,28
Robinson Cano,218
Brett Butler,54
Jack Fournier,136
Jose Canseco,462
Gil Hodges,370
Hack Wilson,244
Omar Vizquel,80
Miguel Tejada,307
Ernie Lombardi,190
Andy Van Slyke,164
Devon White,208
Davey Lopes,155
Dixie Walker,105
Darryl Strawberry,335
Nomar Garciaparra,229
Mark Teixeira,363
Roger Peckinpaugh,48
Ben Chapman,90
Earle Combs,58
